id	preposition index	preposition	hyp governor index	hyp governor	gold governor index	gold governor	sentence
134206_1	16	from	15	watching	15	watching	The players of the baseball team are standing on the field , with many people watching from the stands .
256063_1	15	from	12	selling	12	selling	Three people standing behind the display of an outdoor flea market stand selling insecticide-free products from Clyde ' s Farm .
256063_1	3	behind	2	standing	2	standing	Three people standing behind the display of an outdoor flea market stand selling insecticide-free products from Clyde ' s Farm .
301246_2	4	on	1	group	1	group	A group of people on a bridge beside a boat .
301246_2	7	beside	1	group	1	group	A group of people on a bridge beside a boat .
353913_2	11	in front of	10	lies	10	lies	A man wearing all black and with a covered head lies in front of a doorway with grocery bags .
353913_3	6	against	2	sleeping	2	sleeping	A man sleeping on the ground against a door with plastic bags by his foot .
353913_5	5	in front of	4	sleeps	1	man	A man in black sleeps in front of a door .
371897_1	15	with	13	walking	13	walking	A young man in a red and gray shirt and blue jeans is walking outside with a cellphone in his hand .
371902_1	10	with	6	sitting	9	patio	Two men and a woman are sitting on a patio with a black grill in the foreground .
371903_1	9	next to	2	sit	2	sit	Two men sit reading books in a smoke-filled area next to a table holding sweet corn and raw hotdogs .
371903_3	7	next to	6	reading	6	reading	Two men are sitting down and reading next to a table with food on it .
390369_5	4	in	3	standing	3	standing	A person is standing in a costume on a street .
390369_2	5	in	3	dressed	3	dressed	A person is dressed up in a dress parading around the streets of a town .
390369_2	9	around	8	parading	8	parading	A person is dressed up in a dress parading around the streets of a town .
726414_1	3	from	2	hangs	2	hangs	A skydiver hangs from the undercarriage of an airplane or some sort of air gliding device .
764507_1	8	behind	3	eating	3	eating	2 couples are eating dinner on the floor behind a large plant .
793558_3	14	in	13	boy	13	boy	A young girl in a dress kneels at the shoes of a younger boy in a brown shirt .
793558_3	3	in	2	girl	2	girl	A young girl in a dress kneels at the shoes of a younger boy in a brown shirt .
807129_1	11	along	10	sits	10	sits	An older gentleman with a long , white beard , sits along a metal background in the city playing the flute .
854749_2	13	past	9	pushing	9	pushing	A guy wearing a black shirt and gray pants pushing his shopping cart past a candy aisle of a Walmart .
854749_3	11	with	10	walking	10	walking	A man in a black shirt and gray pants is walking with a cart past a candy isle .
854749_3	14	past	10	walking	10	walking	A man in a black shirt and gray pants is walking with a cart past a candy isle .
854749_2	17	of	16	aisle	16	aisle	A guy wearing a black shirt and gray pants pushing his shopping cart past a candy aisle of a Walmart .
854749_3	2	in	1	man	1	man	A man in a black shirt and gray pants is walking with a cart past a candy isle .
960092_4	4	under	0	people	0	people	people at the park under the trees .
960092_1	5	around	4	stands	1	crowd	A crowd of people stands around a game booth at some kind of fair .
984950_2	7	amid	2	sit	2	sit	Seven men sit cross-legged on a roof amid construction material .
984950_5	5	in	4	sit	4	sit	A group of men sit in a circle on a rooftop .
984950_4	8	of	7	roof	7	roof	A group of men sitting on the roof of a building .
1243756_2	4	in	3	sitting	3	sitting	A man is sitting in a chair in front of a Ben and Jerry ' s machine .
1243756_1	10	near	5	sits	9	chair	A man in strange outfit sits in a lawn chair near a Ben and Jerry ' s stand .
1254659_2	8	under	3	exchange	5	plate	Two restaurant employees exchange a plate of food under a Mongolian BBQ neon sign .
1283466_2	3	on top of	2	is	2	is	A backhoe is on top of a pile of rubble from a demolished building .
1283466_2	8	from	5	pile	5	pile	A backhoe is on top of a pile of rubble from a demolished building .
1369162_1	2	with	1	site	1	site	Construction site with 4 men , 2 of which are on the roof , looking at something in unison .
1624481_1	16	with	11	walking	15	road	Many army men in a line holding guns in green suits walking down a concrete road with a big building in the background .
2209317_4	6	in	5	sitting	5	sitting	A group of people are sitting in a circle with a leader .
2209751_1	2	around	1	standing	1	standing	Men standing around a car with a lamp behind them .
2317271_5	4	outside	1	group	3	people	A group of people outside a church at a wedding .
2317271_2	3	for	2	gathers	2	gathers	A family gathers for a photo after a wedding where the bridal party wears red capes .
2317271_2	6	after	2	gathers	2	gathers	A family gathers for a photo after a wedding where the bridal party wears red capes .
2317271_1	6	for	5	poses	5	poses	A large formally dressed family poses for a photo in front of a large wooden door .
2784746_1	14	from	10	finishes	13	meal	A woman in a white top at an outdoor picnic finishes off her meal from a paper plate , with a 2-liter bottle of Sprite at her elbow .
2784746_1	6	at	1	woman	1	woman	A woman in a white top at an outdoor picnic finishes off her meal from a paper plate , with a 2-liter bottle of Sprite at her elbow .
2784746_5	3	from	2	eating	2	eating	a lady eating from a plate next to a Sprite bottle .
2784746_5	6	next to	2	eating	2	eating	a lady eating from a plate next to a Sprite bottle .
2806447_3	8	near	7	sit	7	sit	Two Indian men in all white clothing sit near the sea while playing a drum and sitar .
3001353_5	4	outside	3	people	3	people	A lot of people outside the gourmet curry hut .
3012229_2	7	next to	3	sitting	3	sitting	Four children are sitting on the ground next to a tree that is white around the trunk .
3025093_2	14	from	13	taken	13	taken	A picture of a man in a green work uniform on his motorcycle taken from the window of a car next to him .
3043766_2	2	by	1	man	1	man	A man by a private jet is standing in the shade of the jet .
3043766_5	3	out of	2	hanging	2	hanging	A man hanging out of the window of an airplane .
3160699_1	16	at the bottom of	11	stands	11	stands	A man with a mustache and glasses in a red jacket stands in an open doorway at the bottom of some stairs , holding his keys .
3494059_1	15	over	14	looking	14	looking	One female healthcare provider is assisting a patient while the male healthcare provider is looking over information in a folder .
3537322_1	5	around	4	sitting	4	sitting	A group of people sitting around tables with computer monitors on them paying attention to something on the left .
3734864_4	10	of	9	side	9	side	Construction workers are working on a pipe on the side of a building .
3753939_1	4	out of	3	leaned	3	leaned	An uniformed man leaned out of a side pilot ' s window of a large American Airline aircraft to wash the cockpit ' s window .
3787801_3	3	at	2	sitting	2	sitting	A man sitting at a desk at work is looking at a picture .
3787801_1	10	into	8	gazing	8	gazing	two workers sit at their desks , one gazing off into the distance while the other looks at a piece of paper .
3996401_1	12	beside	7	converse	7	converse	Four figures hold orange drinks as they converse in a living room beside a window .
4135695_4	7	near	6	fingers	6	fingers	A man is smoking with two fingers near his mouth .
4199555_1	23	by	10	sits	10	sits	A man in a blue shirt with white stripes , sits on the side of the road with his thumb to his mouth by a wheelbarrow full of fruit and vegetables .
4199555_1	2	in	1	man	1	man	A man in a blue shirt with white stripes , sits on the side of the road with his thumb to his mouth by a wheelbarrow full of fruit and vegetables .
4280272_2	5	at	4	sitting	4	sitting	Two young boys are sitting at a desk in a classroom .
4280272_2	8	in	4	sitting	4	sitting	Two young boys are sitting at a desk in a classroom .
4280272_1	9	in	5	sitting	5	sitting	Two young African American boys sitting at a desk in a classroom .
4280272_1	6	at	5	sitting	5	sitting	Two young African American boys sitting at a desk in a classroom .
4307968_3	4	in front of	1	crowd	1	crowd	A crowd of people in front of a building .
4413714_2	11	in	6	working	10	desks	A room of Asian students are working in groups at desks in a classroom .
4414061_1	11	in	10	sitting	10	sitting	A man with a black sweatshirt and an earring is sitting in a car in front of a girl with a white shirt .
4414061_1	14	in front of	10	sitting	10	sitting	A man with a black sweatshirt and an earring is sitting in a car in front of a girl with a white shirt .
4414061_1	2	with	1	man	1	man	A man with a black sweatshirt and an earring is sitting in a car in front of a girl with a white shirt .
4429660_4	2	on top of	1	sitting	1	sitting	Man sitting on top of woman on a bench .
4429660_4	4	on	1	sitting	3	woman	Man sitting on top of woman on a bench .
4489731_1	5	around	4	gather	4	gather	A group of people gather around a picnic table covered in chips and two liters of soda under a pavilion .
4489731_1	17	under	5	around	4	gather	A group of people gather around a picnic table covered in chips and two liters of soda under a pavilion .
4749855_1	11	without	10	naps	10	naps	A man wearing a vertical striped shirt and blue jeans naps without his shows on a brown couch covered with a red velveteen throw blanket .
4749855_1	14	on	1	man	10	naps	A man wearing a vertical striped shirt and blue jeans naps without his shows on a brown couch covered with a red velveteen throw blanket .
4906946_3	12	near	9	performing	11	work	Two men in green safety vests and white helmets performing some work near orange cones with white stripes .
4926723_2	2	in	1	man	1	man	A man in a collared shirt , writing on a pad of paper with his looney tunes mug sitting next to him .
4926723_3	8	behind	7	sitting	7	sitting	A man writing on sheets of paper sitting behind a mug with cartoon characters .
4985704_1	11	in front of	6	performs	6	performs	A man in an orange jumpsuit performs on his giant unicycle in front of a captivated crowd .
4985704_5	8	for	7	performs	7	performs	A man on a high unicycle , performs for a crowd in the street .
5060753_3	3	with	2	girl	2	girl	A young girl with a bow on her head opening a present with people standing around her .
5060753_5	6	with	5	hat	5	hat	A girl in a newspaper hat with a bow is unwrapping an item .
5104045_2	7	under	2	sprawled	2	sprawled	People are sprawled out on the floor under blankets in a messy room .
5217116_5	4	with	2	playing	2	playing	A man playing guitar with a baby in the corner .
5333578_2	6	inside	5	stick	2	smiling	A guy smiling with a stick inside a paint can .
5377361_4	3	into	2	getting	2	getting	Young boy getting into a box of trivial pursuit .
